Lew Fields
Janeane Garofalo
Ross Malinger
Wendell Pierce
Johnny Whitworth
Patrick Dempsey
Nancy Valen
Bernie Coulson
Ray Girardin
Robert Camilletti
Kim Miyori
Kirsty Alley
Robert Picardo
Peter Koch
E.G. Daley
Carlos Villarias
Lupita Tovar
Ally Sheedy
Patricia Clarkson
Radha Mitchell
s a
C.Henry Gordon
Vince Barnett
Dolph Lundgren
Roscor Karns
s a
Louise Closser
Rollo Lloyd
Steven Guttenberg
Kevin Dillon
Jacqueline Logan
Sigrid Holmquist
Mabel vanburen
Luke Congrave
Alma Bennet
Frankie Darro
Tala Birnell
Geoge Irving
Vera Taichi
Brian Dehenny
Diana Venora
Antoinette Celier
Aileen Marson
George Graves
Vicky Lane
Amelita Ward Cowan
Mark Blum
Steven Wright
Anne Carslile
Ann Magnuson
Donal Donelly
Paul McCartney
Celeste Brown
sa
Bruce Lacey
Brian Dehenny
Rachel Ticotin
Diana Venora
Josie deGuzman
Joanne Gleason
Ann Magnuson
Lenne Headley
Ben Masters
Laurie Metcalf
Robert Trebor
Paul McCartney
s a
Norman Bassington
Ricky Nelson
Angie Dickenson
Philip Carey
Julie Sommers
John Hyams
Donald Pleasance
Anne Roussel
Patrick Bauchau
John Leysen
s a
Philippe Volter
s a
Abner Bieberman
none
Lois Calhern
Niall McGinnis
Sig Rumann
Victor Killian
John Carrol
Suzanne Browne
Kristi Ducati
Meriah Naipaul
Rick Gerzon
Sam Cers
Larry deRussy
Barbara Stanwyk
s a
Alan Rein
Dolores Moran
J.Edmund Bromberg
Ludwig Stoessell
Bennie Goodman
Lionel Hampton
Tommy Dorsey
Mel Powell
Charles Waldron
Charles D. Brown
Elisha Cook~jr
Peggy Knudsen
Sonia Darren
Phillipe Noiret
Salvatore Cascio
Jacques Pennino
Antonelli Attile
Pupella Maggio
Anne Harding
James rennie
Harry Bannister
Ben Hendricks~jr
Peppino deFilippo
Carla delPoggio
Marcelo Mastroianni
Noma Martelli
Salvatore Cascio
Marino Cenna
Franco Interlenghi
Franco Fabrizi
Eleanora Ruffa
Leopoldo Trieste
Alberto Soldi
Ricardo Fellini
Brunella Bovo
Leopoldo Trieste
Guilietta Masina
Guilietta Masina
Franco Fabbrizi
Guilietta Masina
Walter Santesso
Sergio Castellito
Guilietta Masina
Francois Perier
Sandra Milo
Rossella Falk
Madelaine Lebeau
Guido Alberti
Jean Rogeul
Annibale Ninchi
Edra Gale
Barbara Chilcott
Linda Goranson
Blain Fairman
Rex Sevenoaks
Walter Marsh
Jo Golland
Jon Granik
Merv Campone
Reginald MxReynolds
s a
Doris Kunstmann
s a
Marion Marshall
Randy Stuart
Alec Guiness
Helmut D\"oring
Monroe Owsley
Walter Ladengast
Jason James Richter
Richard Riehle
Michael Bacall
Danielle Harris
Jayne Atkinson
Michael Madsen
Keiko
Andrea Stein
Jim Turner
Jim Turner
s a
Maxime Collin
Yves Montmarquette
Roland Blouin
Julien Guiomar
Ginette Reno
s a
Gilbert Sicotte
Pierre Bourgault
s a
s a
Carole Matthews
Jil Jarmyn
Denis ODay
Geoffrey Wilson
Wendell corey
Kristine Miller
George Riguad
Mike Mazrrki
Nenry Armetta
Guido Trento
Dennis Franz
Leonoard Nimoy
Nichel Nichols
George Takai
Kurtwood Smith
Michael Dorn
s a
Jonathan Frakes
Brent Spiner
Bobby Sherwood
Hank Henry
Stanley Tucci
Isabella Rosselini
Allison Janney
Louis Prima
Stanley Tucci
Pierre Brossman
s a
Helena Mitchell
Keith Mitchell
Jalagra
Darip
Kawali Singh
Oliver Platt
Teagle F. Bougere
Elizabeth Bracco
Billy Connolly
Allen Corduner
Hope Davis
Dana Ivey
Allison Janney
Richard Jenkins
Matt McGrath
Alfred Molina
Tont Shalboub
Lili Taylor
Alex Rebar
Myron Healy
Jonathan Demme
Marion Edwards
Grant Page
Frederick Weller
Charles Farell
Gladys Brockwell
David Butler
Willard Parker
Tommy Rall
Bob Fosse
Jeanne Coyne
Claude Allister
Gar Moore
Percy Helton
Ernest Cossart
Frank Buck
Clyde Beatty
Joanne WhalleyKilmer
Rick Rossovich
Cyril OReilly
Bill Paxton
Dennis Haysbert
Paul Sanchez
Nicholas kadi
Ron Joseph
Richard Venture
Greg McKinney
Rob Moran
Mark Carlton
S.Epatha Merkerson
Jenny Wright
Glynn Turman
Jeff KOber
Charles T. Bradstreet
Rebecca deMornay
Madeline Zima
Annabelle Sciora
Matt McCoy
s a
David Strathairn
Joseph Mazello
John C. Relly
David Duchovny
Cramen Maura
Charlie Ruggles
Janet Beecher
Karin Booth
Eddie Quinlan
Spencer tracy
s a
Cynthia Gibb
Edward Asner
Andrea Martin
Linda Jer
Jennifer Becks
Tony Shalboub
Mike Nussbaum
Whitney Green
Charley Grapwin
Kathy Najimy
Wendy Makkena
Bill Nunn
s a
Robbie Coltrane
Beverly dAngelo
x Miranal
Peter Richardson
Paul Bartel
Salvatore x
Blanche Frederici
Rudolph KleinRogge
Walter Janssen
Kevin Spacey
Guy Pearce
Russell Crowe
James Cromwell
David Straithearn
s a
Nora Armani
Gerald papasin
Marlene Jobert
Karin Booth
Artur Shields
Patti LuPone
Warren Hull
Mary Ainslee
Joe Girard
Vittorio Gassman
Spiros Ficas
s a
Talia Coppola
J.Carroll Naish
Max Hiller
Maly Delschaft
Hans Unterkirchen
Max Schreck
Greta Schroeder
s a
s a
s a
s a
s a
Camilla Horn
Yvette Guilbert
Gunther Fuetter
Frida Richard
Daniel Hugh-Kelly
s a
Sally Grey
Jerzy Kosinski
Max Wright
Rebecca West
Henry Miller
Dora Russell
Alexandra Khokholva
Sergai Kamorov
Vladimir Fogel
Porfiri Podobed
Edward Ryan
Jackie Paley
Jaqueline Scott
Jeanette Nolan
Tom Simcox
Maggie Pierce
Magdalena Montezuma
Bruce dern
Viriginia Bruce
Charlie Ruggles
Ed Brophy
Gary Cole
Christine Taylor
Jennifer Elise Cox
Christopher Daniel Barnes
s a
s a
Salka Steuermamm
Joseph Maher
Rod Gist
Ellen DeGeneres
Geraldine McEwan
Julianne Nicholson
Tom Everett Scott
Jessica Capshaw
Sasha Spielberg
Jon Tenney
John C. McGinley
Tom Sizemore
Cynthia Stevenson
Lili Taylor
Bruce Seton
Harry Welchman
Kynsta Geer
Ron Wertheim
Nicky Gentile
Carlo Mejo
Arthur Maris
Viju Krim
Yonathan Lucus
Greta Vagu
Alan Coeberge
Ajita Wist
Antonio Gades
Laura deSol
Paco deLucia
Cristina Jimenez
Sebastian Moreno
Tabea Blumenschein
Yvonne Rainer
J.Edward Bromberg
John Arledge
W.C.Fields
Vittorio deSica
Tabea Blumenschein
Lutze Hagen
Nina Hagen
Liev Schreiber
Lauren Holly
Veruschka
Victor Killian
J.Farrel; MacDonald
The Three Stooges
s a
s a
s a
s a
Diana hyland
Mickey Sholdar
Nichel Nichols
Michael Vartan
Noah Wyle
Laurel Holloman
Bernard Giraudeau
Lio
Hippolyte Giradot
Lane Killing
Phillipe Levree
Judith Reral
Yara Atta
Ingrid Held
Nicole Calfan
William Scott
s a
Jack OHalloran
Allen Paynel
Bokeem Woodbine
Jada Pinkett
Barbara Stanwyk
Sam Levine
Whitney Bourne
Michael C. Gwynne
Peter Weller
s a
Mark Lawrence
s a
s a
s a
s a
s a
Dermot Mulroney
Sam McNeil
Kyra Sedgewick
Susan Oliver
Joe Pyne
Mark Goddard
The Chocolate Watchband
New Age
Christian Bale
Lee Ross
Elsa Zylberstein
Anette OToole
Beverly DAngelo
Madeline Kahn
Mel Torme
Sig Arno
Barbara Stanwyk
Dick Bangham
Joe Lee
Steven Lorber
Gloria Mejia
Breon
Ginger Rodgers
Goerge Zucco
Xavier Cugat
Bonnie Bedalia
sa
Hans Albers
Michelle Nichols
Mark Lenard
John Laroquette
Robin Curtis
Danny Aiello
Antonia Minelli
Robert Ellenstein
George Takai
Christopher Reid
Christopher Martin
Martin Lawrence
Tisha Campbell
Full Force
Georg Stanford Brown
Erich vonStroheim
Jan Francis
Johanna Schall
Thomas Ruchel
Udo Kroschwald
Philip DForn
Dan Dailey
Douglas Dumbrille
Jeannette McDonald
Satanley Fields
Olin Howland
Kevyn Major Howard
Leslie Bevis
George Jeneky
Jeff Kober
Rober Aaron
Tony Simotes
Harriet Hoctor
Gilda Grey
Stanley Morner
Pa Zadora
Anna Nicole Smith
Vanna White
s a
s a
Paul Mann
Rosalind Harris
Michelle Marsh
Neva Small
Candy Bonstein
Louis Zorich
Ted Nealey
Carl Anderson Nealey
Barry Dennen
Yvonne Elliman
Bob Bingham
Josh Mostel
Paul Thoma
George McReady
Billy House
Giacomo RossiStuart
Guy Marchand
Isabella Rosselini
Laura Fraser
Adam Monty
Jim Broadbent
Adrian Dunbar
Willis Bouchey
Robert Ellis
Uma Turman
Cartier
Allessandro Gassman
Jeremy Piven
David Spade
Megan Ward
Chris Young
George Clinton
Parliament Funkadelic
Hans Schraggs
Enid Thompson
Linda Doran
Stephen Fry
Hugh Laurie
Alphonsia Emmanuel
Tony Slattery
Hugh Laurie
Imelda Staunton
Keanu Reeves
Robert Sean Leonard
Kate Beckinsale
Richard Clifford
Richard Biers
s a
Edward Jewsberry
s a
Joan Weldon
Olin Howard
Sandy Desch
sr
brat
Richard Briers
Nicholas Farrell
Michael Maloney
Simon Russell Beale
Nicole Berger
Marie Dubois
Albert R\`emy
Mich\`ele Mercier
Clare Maurier
Albert Remy
Patrick Auffay
Henri Serre
Oscar Werner
Sabine Haudepin
Marie Dubois
Varna Urbin
s a
sa
Margaret Colin
Jean DeSailly
Nelly Benedetti
Daniel Ceccaldi
Laurence Badie
Phillipe Duval
Paule Emmanuele
Maurice Garvel
Jean Lanier
Sabine Haudepin
Dominique LaCarriere
Pierre Risch
Claude Jade
JeanLouis Richard
Claude Rich
s a
s a
Marlene Clark
Bill Gunn
Sam Waymon
s a
John L.\ Marion
Ed Begley~jr
s a
s a
s a
s a
s a
s a
s a
s a
s a
s a
Anthony Barille
Don Cheadle
Dorotha Segda
Dorotha Segda
Oleg Jankowski
s a
Adolph Ceasar
s a
s a
Efrem Zimbalist~jr
Don Kelly
John Searle
Frank Bardache
Ramon Novorro
C.Henry Gordon
Blanche Frederici
Laura Herrring
Jeff James
Barbara Brighton
s a
Kid Creole and the Coconuts
s a
Angela Moya
Stan Lloyd Williams
Gwen Watford
Kay Tendeter
Irving Steen
Isaach deBancole
Maka Kotto
Myriam Cyr
Jules Dedjko
Nasicaa Rampony
s a
Grazyna Szapolowska
Olaf Lubaszenko
Stefania Iwinska
Cuba Gooding~jr
Jill
Skeet Ulrich
Whittni Wright
Juliew Carver
Juliette Binoche
Benoit Regent
s a
Zbigniew Zamachowski
Keith Jochim
Carel Struyker
s a
Richard Jenkins
William Eagle Shirt
Anna Little
Grace Cunard
J.Barney Sherry
Art Acord
Erich vonStroheim
Rafael Ottiano
Gosia Dobrowolska
Claudia Karvan
Chris Haywood
Aden Young
Beth Champion
Claudia Karvan
Chris Haywood
Gosia Dobrowolska
s a
Howard Philips
Lois Mran
Mahlon Hamilton
John Clemente
Holly Woodlawn
Gerard Malanga
Fran Lebowitz
Taylor Meade
Lou Reed
Ultraviolet
Inez Courtney
Reginald Mason
Theodore VonEltz
s a
Robert Flemyng
Harriet Medin
Montgomery Glen
Maria Therese Vianello
Spencer Williams
Alastair Sim
Avril Nagers
Tsuru Aoki
Carol Baker
Vam Heflin
Slim Pickins
Meynier
Rosemarie Dexter
Tarik Akan
Halil Ergun
Necmettin {\c}Cobanoglu
Serf Sezer
Earl Cameron
Ricky Der
Laurette Spang
Carole White
John Bindon
Jean Hale
Yvonne Craig
Horace McMahon
Rober Duvall
Howard Hickman
J.Barney Sherry
Gianne Maria Canale
Gianne Maria Canale
Gianne Maria Canale
s a
Juliette Binoche
James McEachin
Mirella DAngelo
Jake Gyllenhaal
Chad Lindberg
William Lee Scott
s a
Chris Owen
Elya Baskin
Chris Cooper
s a
Natalie Cannerday
Elya Baskin
Chris Ellis
s a
John Cromwell
Madge Subanski
s a
s a
Danny Mann
James Cosmo
Adam Goldberg
Roscoe Lee Brown
Jim Hoyt
Hugh Beaumont
Hope Alexander-Wells
Semyon Shaigada
Stepan Shkurat
Sergei Stolyarov
Bastian Bodenhoffer
Maria Izquierdo
Red Wing
Charles Inslee
Young Deer
J.Barney Sherry
Rudolf Valentino
Joseph Swickard
Jan Decleir
Els Dottermans
Warre Borgmans
Jacob Beks
Julia Mennes
Hugh Grant
Hector Noguera
Tito Bustamantes
Elsa Poblete
Ximena Rodriguez
Annabel Chong
s a
s a
s a
Arthur Jurado
Bill Elliott
Vera Ralston
s a
Jack O'Halloran
Alexandra Paul
Bruce Gary
Lenka Peterson
Christopher Mankiewicz
Peter Ackoyd
Garry K. Marshall
Art Frankel
s a
s a
Mike Bradford
Karen Mallet
Harry Millard
s a
Bob Wills
Richrad Petty
Sheri Benet
Barry Darval
Randy Stuart
John Arnold
Arlen Dean Snyder
Gene Bua
Kendra Kerr
Val Bosoglio
Peter Jeffrey
Virginia North
Anna CalderMarshall
Pamela Brown
Robert Quarray
Valli Kemp
Peter Jeffrey
John Cater
Everett Sloan
Branda Vaccaro
David Healy
Carmen Mathews
Clint Kimborough
Amy Douglass
Clu Galager
Joseph Sullivan
Richard Gering
Taldo Kenyon
Peter Mullan
s a
s a
Ian Hart
s a
Rosana Pastor
s a
s a
s a
Mario van Peebles
s a
s a
Mario Caserini
Maria Gasperini
Alex Gerry
Ken Lynch
Bartlett Robinson
Victor Tayback
Kyra Sedgewick
s a
Ron Kovic
Paul Abbott
Russel Collins
Elisabeth Frazer
Arthur Batanides
Rad Fulton
Richard Evans
Richard Rust
Richard Gering
Peter Lazer
John Kennedy
s a
s a
Laurie Metcalf
Michael Rooker
Jay O. Sanders
Marian Seldes
s a
Kathlenn Quinlan
Margaret Johnson
Daryl Hannah
Terrence Stamp
sr
Annie McEnroe
Suzen Murakoshi
Maurizio Vega
Aldo Parodi
Patricio Riveadeneira
Michael Baldwin
Rosie Perez
Isabella Rosselini
Rosie Perez
John Turturro
Roman Corbett
Carey Lovell
Robert Lindsay
Luke Wilson
Jake Busey
Rick Moranis
Catherine ZetaJones
Stratford Johns
Brenda Bruce
Sadie Frost
Charu Bala Chokshi
Jeremy Clyde
Pruitt Taylor Vince
Evan Danbo
Annabella Sciorra
Ray Liotta
Michael Rapaport
Janeane Garofalo
Angelina Jolie
Sergi Lopez
Sacha Bourdo
Elisabeth Vitali
Bartlett Robinson
William Yip
Monica Potter
Rufus Sewell
Tom Hollander
Laurence
Kazuo Hasegawa
Tim Allen
Alan Rickman
s a
Enrico Colatoni
s a
s a
s a
Adrienne Cori
JeanIves Dubois
Tom Conway
Billy Barty
s a
Len Lesser
Cheryl Callaway
Jennifer Lopez
Claire Danes
Joaquin Phoenix
Billy Bob Thornton
Patricia Arquette
Rhyis Ifans
Tim Robbins
Miranda Otto
Rosie Perez
Hillary Duff
Edward Norton
Edward Furlong
Sir Godrey Teale
Mary Malone
John Baragrey
Georgann Johnson
s a
s a
s a
s a
s a
s a
s a
Harry Tyler
David Armstrong
s a
Robert Sean Leonard
Ethan Hawke
Josh Charles
Gale Hansen
Kurtwood Smith
Joan Allen
David Hyde Pierce
Saul Ruben
sa
Annabeth Gish
Tony Lo Bianco
David Paymer
Dan Hedaya
Madeline Kahn
Brian Bedford
Kevin Dunn
Fyusdh Finkel
sa
sa
Richard M. Nixon
Bill Clinton
Hillary Clinton
Bebe Neuwirth
Andie McDowell
Larry Wright
AndieGregg Edelman
E-than Phillips
Robert Prosby
Dianne Chritenden
Jan Gontic
Hiep Thi Le
Debby Reynolds
Don Pedro Colley
Johnny Weissmuller~jr
Alec Guiness
Gene Saks
Mackenzie Philips
Joe Spano
Chet Baker
Ewan McGregor
Jake Lloyd
Ian McDiarmid
Pernilla August
Hayden Christensenn
Ewan McGregor
Christpher Lee
Dexter Jettser
Mike Myers
Dana Carvey
Tia Carrere
Olivia dAbo
Anne Brochet
JeanPiere Marielle
Caroline Sihol
Carole Richert
Guillaume Depardieau
George A. Lessey
Julia M. Taylor
Laura Linney
Natascha McElhorn
s a
Noah Emmerich
x Taylor
John Pleshette
Valentine Nonyela
Mo Sesay
Sophie Okonedo
Jason Durr
Kong Lin
Gong Zhaohui
Hu Yajie
Zhao Jun
Xie Yan
Luke Edwards
Ashley Crow
Dennis Farina
Timothy Busfield
Douglas Fairbanks~jr
Carl Jaffe
s a
s a
Richard Dawson
s a
Richard Slattery
Robert Carlyle
Emer McCourt
Ricky Tomlinson
Brian Cox
Frances Mcdorman
Peggy Moran
Tom Tyler
Pamela Brown
William Marshall
Denise Nichols
Charles Macaulay
Ron Ely
Bruce Jones
Julie Brown
Ricky Tomlinson
Crissy Rock
Vladimir Vega
Gustav Serena
Francesca Bertini
Tommy Davidson
Jamie Foxx
Tamala Jones
Vivica A. Fox
Tetsu Komai
Phyllis Dixey
Ronald Frankau
Terence deMarmey
Abraham safaer
Ornella Muti
Francois Morel
Gilbert Melki
Dominque Blanc
Lucas Belvaux
Lucas Belvaux
Dominque Blanc
Ornella Muti
Griffin ONeal
Gabriel Dell
Mireille Perrier
Cecile Ducasse
Isaach deBankole
Giula Boschi
Francois Cluzot
Isaach deBankol\'e
JeanClaude Adelin
Jacques Denis
sa
Dominque Blanc
Gilbert Melki
Dominque Blanc
Ornella Muti
Bernard Mazzinghi
Lucas Belvaux
Christopher Olson
s a
s a
Erich Maria Remarque
Susan Kohner
s a
Sandra Gould
Gregoire Colin
Alice Houri
Harry Hilliard
Marianne Cook
CarlGustav Lindstedt
Ulf Friberg
Marie Bonnevie
Johan Rabaeus
Reine Brynolfsson
Bjorn Granath
Lena Endre
Julia Ormond
Gabriel Byrne
Karen Sillas
Vincent Gallo
Sara Shane
Samuel Froler
Jennifer LoveHewitt
Sarah Michelle Gellar
Ryan Phillippe
Freddie Prinze~jr.
Johnny Galecki
Bridgitte Wilson
Rita Gams
Ludmilla Tcherina
George Dolenz
Pelle Hvenegaard
Fred MacMurrray
Kelly Lynch
Elias Koteas
s a
s a
Fred McMurray
Barbara Stanwyk
William Reynolds
Judy Nugent
Juliette Mayniel
JoseMaria Caffare
Marie La Forette
Stephan Audran
Beverly Bane
Nancy Walters
John Archer
Laurel Goodwin
s a
s a
Viviane Romance
Alla Donnell
Mady Berry
Genevieve Sorya
Patricia Knight
Francis Frappat
Jacques Martial
Peter Yellen
none
none
none
Ann Shoemaker
Larry Nunn
Virginia Brissac
Ray Real
Paul Pincerni
Mike Ross
Hugh Sanders
Pamela Oster
Gladyss Cooper
Kathleen McGuire
s a
s a
Ray McDonald
James Gleason
Fay Rainier
Edd Byrnes
Susan Hubble
George DiSend
Donelly
Hardin
Davis Roberts
Ann Esther
Glenne Headly
Kathleen Wilhoite
Dann Florek
Francis Dade
s a
s a
s a
Catherine McCormack
Rachel Weisz
Anna Friel
Steven Mackintosh
Nicholas Clay
Shane Briant
Ann Mitchell
Elizabeth Spriggs
Phoebe Foster
Alexander Kirkland
Brooks Benedict
Eddie Anderson
Nita Talbot
Betty Hanford
Bramwell Fletcher
Ann Prentiss
King Moody
Phil Baker
Tony DeMarco
Lillian Yarbo
Miriam Lavelle
Russell Hoyt
James Russo
Zoe Lund
Frankie Thorn
Mia Nygren
Sophie Berger
Deborah Power
Gabrielle Anwar
Terry Kinney
Reilly Murphy
Zabou
Monique Gabrielle
Dana Burns Westberg
s a
Paolo Martens
Matt Damon
Patrick Barr
Raymond Huntlry
s a
Jon Cryer
James Spader
s a
Martine Carroll
Luis Dominguin
Jose Greco
A.E. Mathews
Ed Murrow
Sig Rumann
s a
Anil Kapoor
Tabbu
Pooja Batra
Amrish Puri
s a
s a
Charles Hallahan
Grant Heslov
Elizabeth Hoffman
Jeremy Folman
Jamie Smith
s a
s a
Katryn Grayson
John Carrol
Tom Conway
William Ragsdale
Bruce Greenwood
Bruce Greenwood
sa
sa
sa
sa
sa
Walter Cronkite
Billy Frick
Hans Hermann Schomburgk
Vince Kelly
Tim Robbins
Annabella Sciorra
Fran Drescher
Lori Petty
Tristine Skyler
Zack Norman
Lauren Tom
Bill Nelson
Judith Hoag
Elaine Strich
Kathleen Burke
Floyd McClure
Carl Hackett
Florence Rasmussen
Albert Bitterling
Roberto Benigni
Giorgio Cantarini
Nicoletta Braschi
s a
Randell Dale Adams
David Harris
Henry Wade
Douglas Mulder
Teresa Turko
Howard Pettis
Roscoe Collins
Henry Shipes
Michael Madsen
Jimi Hendriks
Joe Cocker
Janis Joplin
Creedence Clearwater Revival
Richie Havens
Edy Williams
s a
Jasae
Brinke Stevens
Roberto Benigni
Nicoletta Brascchi
s a
Paolo Bonacelli
Luke Edwards
Will Seltzer
Mary Elizabeth Mastantonio
Roberto Benigni
Tom Wood
Patricia Richardson
Christine Dunford
s a
Jessica Biel
Steven Finn
s a
s a
Devey Weber
s a
s a
Csontos
Mate
Claude Jade
Hiroke Berghauer
Daniel Ceccaldi
JeanPierre Cargol
Francoise Seigner
Bernadette Lafont
Guy Marchand
s a
s a
Stacey Tenderer
Phillippe Leotard
Sylvia Marriott
Bruce Robinson
Sylvia Marriott
Reubin Dorey
Viola Davis
Natascha McElhone
Jeremy Davies
s.a.
Valentina Cortese
Dani
Jean Champion
David Markham
Grahame Greene
Matt Damon
sa
Andy Garcia
Scott Caan
Elliot Gould
Bernie Mac
sa
sa
sa
sa
Eddie Jamieson
Eddy Affleck
Fred Weintraub
Scott Canaan
JeanFrancois Stevenin
Geory Desmouceaux
Virginie Thevenet
Philippe Goldman
Jennifer Lopez
Steve Zahn
Ving Rhames
Catherine Keener
Don Cheadle
Dennis Farina
Paul Cadenou
Isaah Walker
Alex Winter
Keanu Reeves
William Saddler
Taj Mahal
John Enroe
Our Gang
Dom Ameche
Hans Hermann Schomburgk
Leonid Kinsky
Marjorie Woodsworth
Dennis OKeele
David Beecroft
Michael Chiklis
Tania Coleridge
Woody Brown
Bill LaValee
Maria Ford
Ellen Gaffin
Hans Hermann Schomburgk
Francis rafferty
Robert Z. Leonard
Joe Cortese
Adolfo Celli
Leonardo Cimino
Adam Rich
Charles Shamata
Kevin Spacey
John Spencer
Alastair Sims
Jane Wenham
Bulle Ogier
JeanLuc Bideau
Jacques Denis
Christina Applegate
David Mendenhall
Alan Stock
Eb Lottimer
Joe Cook
Barbara Stanwyk
Sam Hardy
Russell Hopton
Gerard Barray
s a
Fanny Ardent
JeanLouis Trintigant
Caroline Sihol
Philippe Laudenbach
Sara Gilbert
Frank Perry
Woody Harrison
Tommy Rile
Oliver Platt
Barbara Bosson
John Klaver
Kim Ullrich
Tim Robbins
Elizabeth Pena
Danny Aiello
Patricia Kalember
Betty Davis
Aline McMahon
Clarence Nordstrom
s a
Sybil Jackson
Barton Maclane
Gale Sondergard
Steffi Duna
Rollo Lloyd
Claude Allester
Louise Clossr Hale
Gavin Gordon
Barabara Stanwyk
Gavin Gordon
Toshia Mori
Lynn Holly Johnson
Ben Silverstone
Emma GriffithsMalin
Suzanne Shepherd
Aleksandra Slaska
Anna Ciepielewska
Margeret Lindsay
John Littel
Don Costello
Jeanne Lobre
Shoba Sen
Utpal Dutt
Oliver Martinez
Erik Per Sullivan
Claude Jade
MarieFrance Pisier
Dani
Julien Bertheau
Dorothe\'e
Heinz Bennent
Andrea Ferreol
Fanny Ardent
Henri Garcin
Michele Baumgartner
Scott Valentine
Chris Mulkey
Joan Severance
Andreas Katsulas
Howard George
G.W. Bailey
Ray Wise
Howard Smith
Eddie Hodges
Rick Moranis
Susan Forrestal
M.C. Shan
Kevin Pollack
William Lancaster
Mario Ferrari
Michael Madsen
Luis Senco
Florence Stanley
s a
Gibson Frazier
Ben Carruthers
Kevin Kostner
Will Patton
Jason Bernard
Rebecca Walker
Micah Wagner
Hunter S. Thompson
Studs Terkel
Michael Stipe
George Stephanopoulos
Michael Spinola
Ralph Reed
Noel Neill
Tommy Bond
Carol Foreman
Margaret McWade
Margaret Setton
Isabel Jewel
Patrick Widmark
Peter Barkworth
s a
s a
Rhonda Flemming
Richard Erdman
William conrad
Irene Ware
Dorothy Burgess
Christina Applegate
Helena BonhamCarter
Stephen Dillane
Nathaniel Parker
Mira Sorvina
Nathan Lane
Kelly McGinnis
Justino Diaz
Katia Ricciarelli
Petra Mlakova
Wyndham Standing
Bernard Hill
Fernand Ledoux
Goerges Rollin
Blanchette Brunoy
Robert LeVigan
James Gleason
Edward Everettt Horton
Vaughan Glaser
Gary Owen
Edward McNamara
John Ridgely
Chester Clute
Edward McWade
Carolyn Rhimes
Alfalfa Switzer
May Boley
Roger Sloman
Richard Kane
Robert Palmer
Dave A. Stewart
R.L. Burnside
Roosevelt (Booba) Barnes
Leonie Pitchford
Big Jack Johnson
Jesse Mae Hemphill
Tsi Chin
Howard MarionCrwaford
Tsi Chin
Heinz Drache
Marie Versini
Howard MarionCrwaford
Koji Yakusho
s a
s a
Coleen Moore
Burr McIntosh
Maurizio Nichetti
s a
s a
Boozoo Chavis
Beau Jocque
Peter Rowan
Johnson Mountain Boys
MajBritt Nilsson
Birger Malmsten
Stig Olin
George Funquist
Roger Duchesne
Daniel Cauchy
Isabel Corey
Macdonald Carey
Denise Crosby
Dale Midkift
Brad Greenquist
Miko Huggins
s a
s a
Sami Bouajila
Patachou
Arinae Ascaride
Virginie Ledoyen
Matthiau Demy
Curly Joe
Larry
Moe
Carol Christensen
Emil Sitka
Curly Joe
Larry
Moe
Emil Sitka
Gene Roth
Samson Burke
s a
Chloe Webb
Geoffrey Copleston
Stefania Casini
Francesco Carnelutti
Vanni Corbellini
Marino Mase
Julian Jenkins
Alfredo Varelli
Nino Castelnuevo
Marc Michel
Ellen Farmer
s a
Juliet Stevenson
Bernard Hill
Jason Edwards
Jill Schoelen
J.Eddie Peck
Sydney Lassick
Savina Gersak
Sandra Sexton
Bruce Marchiano
Shiri Appleby
Marianne Muellerleile
Terrence Evans
Al Fann
Jose Garcia
John Larkin
Claude Mann
Alan Howard
Neil Diamond
John Witherspoon
Steven Hill
Anouk Aim\'ee
Jaques Harden
Marc Michel
Elina Labourdette
Donald Pleasance
s a
Jeremy Fisher
Jacques Purrin
Grover Dale
Genevieve Thenier
Oskar Karlweiss
Olga Tchekhova
Terry-Thomas
Kenny Walker
Genevianne Lemon
Alexia Keogh
Karen Fergusson
Kerry Fox
Martin Donovan
Voggo Mortensen
Julia Ormond
Ralph Fiennes
Jonathan Lacey
Michel Clark
Isabelle Passo
Kenneth Cranham
s a
Mark Rylance
s a
s a
Ken Ogata
Ewan McGregor
s a
Yoshi Oida
s a
s a
Polly Walker
Anni Shizuka
Natacha Amal
Toni Collette
Tomisaburo Watanabe
Genevieve Lemon
Karen Colston
Tom Lycos
Jon Darling
Lillian Braithwaite
Alfred Goddard
Barbara Gott
Ann Michele
Patricia Haines
Brandy Walker
Veleska Gert
Agnes Esterhazy
Laurette Luez
Stuart Hall
Trilby Clark
Jack Raine
Harvey Braban
ex-sergeant H. Jones
Franz Lederer
Alice Roberts
Gustav Diessl
Goetz
Alid Robida
s a
s a
s a
Marie ONeill
s a
s a
s a
David Reynoso
Armando Silvestre
Reese Witherspoon
Matthew Davis
Selma Blair
Luke Wilson
Victor Garbe
Holland Taylor
Hardin
sa
sa
sa
sa
Moroni Olson
Dorothy Tree
John Goodman
Max Parrish
Nora Dawn
Charles D. Brown
Joseph Crehan
John Ridgely
Tom Tyler
James Spader
Jason Alexander
Amy BrandonThomas
Leon M. Lion
Hindle Edgar
no\_actor
Andy Garcia
Lauren Tom
Tina Majorino
Mae Whitmman
Madelaine Stowe
Richard Farrington
Pablo Ferrez
Pablo Ferrez
Weldon Heyburn
Ted Healy
Mona Berrie
s a
s a
s a
Rosalind Marquis
a s
Barton McLane
Joyce vanPatten
no\_actor
no\_actor
John Miller
